Sample_ID	Location
T754	Epithelium
T818	Epithelium
T855	Epithelium
T864	Epithelium
T891	Epithelium
T895	Epithelium
T911	Epithelium
T916	Epithelium
T933	Epithelium
T984	Epithelium
T1039	Epithelium
T1106	Epithelium
T1184	Epithelium
T1283	Epithelium
T1310	Epithelium
T1385	Epithelium
T1418	Epithelium
T1548	Epithelium
T1656	Epithelium
S754	Stroma
S818	Stroma
S855	Stroma
S864	Stroma
S891	Stroma
S895	Stroma
S911	Stroma
S916	Stroma
S933	Stroma
S984	Stroma
S1039	Stroma
S1106	Stroma
S1184	Stroma
S1283	Stroma
S1310	Stroma
S1385	Stroma
S1418	Stroma
S1548	Stroma
S1656	Stroma
