Gene.Symbol,GSM775184,GSM775185,GSM775190,GSM775191,GSM775224,GSM775225,GSM775249,GSM775250,GSM775258,GSM775259,GSM775264,GSM775265,GSM775270,GSM775271,GSM775275,GSM775279,GSM775286,GSM775287
15E1.2,7.574639693,7.228747516,7.859095544,6.86863615,6.291332069,6.307202813,6.512352216,6.407948199,7.059317418,7.194472226,7.339501755,6.604286496,8.128504267,6.594600649,6.16613797,6.218961106,7.300778098,7.309694617
2'-PDE,8.347567779,7.99076487,8.763849071,8.586765119,6.46109566,6.950124263,7.922163946,6.819620927,7.7239312,8.183393217,8.400438878,8.763367751,8.348315201,7.413243723,6.690693651,7.190219764,7.938252265,8.23291781
76P,7.869514882,6.360557595,7.511342317,6.143632392,7.726850967,7.000921678,8.088666353,8.145020655,8.089111451,6.526673721,8.164669642,7.459471784,7.417528505,7.741721795,6.17552999,6.409600875,7.264080356,7.651165093
7A5,6.161022007,5.970440016,6.27351962,6.93162515,6.180900527,6.02937801,5.912573944,6.071706259,6.119915341,6.18877872,6.241532663,5.913922678,6.790620881,5.965846377,5.849508189,6.12557775,6.073538992,6.073966723
A1BG,6.050630768,6.186369617,6.07246793,6.127844551,6.017393046,5.880452893,6.033238413,5.953763204,6.025337372,5.93631521,6.033510221,6.024083156,5.962765087,6.003414467,6.229638485,6.123714404,5.98024699,6.085193693
A2BP1,6.884356149,6.227429765,6.90356737,6.890868593,6.502515987,7.018597457,6.595683568,6.542935276,6.487869932,6.802127286,7.312380193,6.479299124,6.49166345,6.47582388,6.772780384,6.73393049,6.803582241,6.484736068
A2M,8.966959891,10.89908422,7.757133952,11.15978684,8.234553531,10.29606731,9.298482596,11.46591734,9.489315329,12.59139845,8.90945631,11.17707502,9.040641789,11.99025397,10.20582135,11.40075672,8.403139879,9.248635874
A2ML1,6.680864422,6.094887163,6.366244219,6.479995238,6.884356149,6.393972652,6.406840714,6.372505538,6.441186318,6.446579642,6.467297905,6.683650141,6.372759737,6.279829696,6.234430042,6.84820478,6.545243134,6.45909025
A4GALT,6.248650199,7.97838385,6.063762854,7.458195782,6.294403317,9.19346499,6.544974167,8.192375675,6.416898333,8.779586404,6.277819832,7.449544868,6.497285663,9.198959409,7.771593789,7.911595719,6.364028343,7.714049023
A4GNT,6.688907679,6.404746987,6.832595117,6.377555348,6.296365079,7.150046803,6.654308073,6.675087627,6.529732571,6.660473739,7.40005883,6.313644207,6.638617353,6.471458347,6.490606069,6.935411421,6.807397429,6.512566657
AAA1,6.331039995,7.021548574,6.350840023,6.223399573,6.238595812,6.796283662,6.387473524,6.4481054,6.578904909,6.27269211,7.858686002,6.364947764,6.532319765,6.36408509,7.155963711,7.136433401,6.327807883,6.427926755
AAAS,8.078722968,7.486113393,8.092902988,8.515078478,9.192329313,8.068857261,8.028301164,7.829132853,8.38594262,8.242888749,8.582118642,8.404963562,8.487569151,8.131636296,8.131213905,8.204261543,7.875308874,7.375557318
AACS,7.661130343,6.714448855,7.894058633,6.619436341,8.859354011,8.388679912,8.485267011,7.879411096,7.935064839,6.92689015,8.071688671,7.583826683,8.115008265,7.383483984,8.011368163,7.547414354,8.166806313,7.459812735
AADAC,6.97228253,5.922647669,6.404973437,6.778036379,6.218250907,6.416811881,6.279379546,6.233422767,6.223888956,6.214039881,6.201181184,6.227553758,6.873083548,6.348789932,6.289081759,6.467689012,6.881682971,6.379975597
AADACL1,8.097938884,6.883606155,8.826866227,7.672352498,8.336231607,7.12245634,7.502850099,7.230030046,7.976249059,7.342652519,8.688888801,7.303831881,7.977087551,6.895044455,7.339501755,7.164215071,9.36764932,8.98627525
AADACL2,6.180094141,6.331584844,6.287800093,6.406701454,6.688766439,6.280774296,5.990176366,6.227338111,6.127122923,6.198819627,6.235384149,6.226226051,6.1027801,6.154108635,6.367020834,6.219372613,6.231929248,6.244387051
AADACL4,6.841341676,6.671696738,7.251365949,6.936147928,7.392273626,6.842630683,6.429406742,6.558329939,6.629996364,6.745424246,7.423557162,6.550757557,6.438637347,6.50314612,6.780945207,6.735794282,6.576600589,6.625639008
AADAT,7.493210194,6.866021472,7.362830167,7.111775219,9.478543947,7.396621049,7.143453625,7.145190362,7.397886797,7.257626386,7.987734694,7.731272864,8.192375675,7.111775219,9.91349532,7.671717258,6.092850992,6.855201131
AAK1,6.259791839,6.21208836,6.199409495,6.091799466,6.334358213,6.588659025,6.383252408,6.305879529,6.354027527,6.357183894,6.506579887,6.173899557,6.308258018,6.216489787,6.048380936,6.343017247,6.333197758,6.102817466
AAMP,9.277029296,8.960027715,8.392723553,8.094053399,8.738545607,8.339354325,10.37129857,9.269227921,9.517267818,8.615988933,7.832170385,8.460486613,9.080197422,9.191219149,8.328525041,8.397722116,9.254117566,9.00753023
AANAT,5.903129641,6.173065254,5.854617588,6.018842446,5.966640414,6.047886893,5.921357538,5.928488292,5.784589045,5.938987206,6.041523581,5.894699191,5.891475085,6.002804891,6.065622285,5.942281544,5.999588097,5.885957438
AARS,12.46191833,12.9525194,12.83022858,12.60304373,12.53993933,13.03587611,11.85144337,12.41801333,12.28639113,12.6999526,12.02416798,12.52028841,13.03587611,13.14690799,12.93676932,12.62014169,13.2844722,12.97712015
