Gene_Symbol	Selected_Probe_ID	GSM249671	GSM249672	GSM249673	GSM249674	GSM249675	GSM249676	GSM249677	GSM249678	GSM249679	GSM249680
A1BG	229819_at	3.277713736	4.650402341	3.103717501	2.820452225	2.723897947	3.396971903	2.715025319	2.824513182	4.177277721	4.347770385
A1BG-AS1	232462_s_at	5.536325508	6.716480988	5.735807203	6.107255624	6.062745766	5.772350306	5.479808936	5.792621172	6.427134403	6.269876428
A1CF	220951_s_at	1.963696519	2.175308943	1.954771446	1.617945237	1.817812901	1.649740849	1.801912443	1.488992884	1.932128085	1.767975653
A2M	217757_at	8.722871351	11.36791917	9.58465672	10.93417149	8.820108046	10.87953584	8.975265501	11.0875062	7.976441948	11.19966985
A2M-AS1	1564139_at	4.618602001	6.191181431	4.74168298	6.248054114	4.407354245	6.600479955	5.521447675	6.77499631	5.555764591	6.267622634
A2ML1	1553505_at	1.938172619	2.635578677	2.507128593	1.973728775	1.985321841	1.952119913	2.140712513	2.057156703	1.983222659	2.554543477
A2MP1	236394_at	2.542791471	5.187092055	2.698017737	3.700720511	2.106728482	3.2032489	2.423827574	3.960700587	3.350140884	3.548266863
A4GALT	219488_at	5.037481021	5.761188506	5.032876041	5.255484998	5.000499906	6.012025463	5.051976305	4.926559836	6.05480435	5.57100832
A4GNT	221131_at	1.448256551	2.259256177	1.596978975	2.051378692	2.017343748	1.49652584	1.689162908	1.447310843	1.745357451	1.722450358
AA06	241552_at	2.437102367	2.789017301	2.597962486	2.587413562	2.296723262	2.19709961	2.770811269	2.243153557	2.926737634	2.599847075
AAAS	218075_at	6.654423893	4.833310796	6.123660416	6.152180718	6.22123934	5.335430434	5.690237819	5.472058816	6.745177601	6.99911317
AACS	218434_s_at	6.828479553	6.164195396	5.359454395	5.623168476	6.056510593	5.903176035	7.599805602	6.053451048	5.749687764	5.135095318
AACSP1	1570020_at	2.405126445	1.954696654	1.819914308	2.32007774	2.318510209	2.175688367	1.856932363	1.789199353	2.274278812	1.921054345
